id;placed_date;status;total_price;payment_method;customer_details_id
1;2021-01-08T08:15:28;CANCELLED;24351;CREDIT_CARD;1
2;2021-01-07T23:19:14;COMPLETED;25857;CREDIT_CARD;2
3;2021-01-08T14:41:26;PENDING;21769;IDEAL;3
4;2021-01-08T07:28:19;PENDING;74567;IDEAL;4
5;2021-01-08T03:09:28;PAID;5450;CREDIT_CARD;5
6;2021-01-08T19:30:43;CANCELLED;11029;CREDIT_CARD;6
7;2021-01-07T21:23:51;PAID;11270;CREDIT_CARD;7
8;2021-01-08T02:45:22;PENDING;25583;CREDIT_CARD;8
9;2021-01-08T16:30:39;CANCELLED;65407;CREDIT_CARD;9
10;2021-01-08T15:58:56;PENDING;39415;CREDIT_CARD;10
